Object Tracking Data File Wed, Feb 12, 2020 3:56 PM
X (pixels)  	Y (pixels)  
628.51	338.09
622.51	338.64
630.05	338.67
630.57	338.20
625.64	339.83
624.83	344.46
627.90	346.23
628.01	347.06
631.59	351.93
634.43	359.40
634.58	357.41
634.16	355.02
638.18	347.01
639.60	352.63
640.31	345.86
641.75	354.55
641.00	355.70
636.69	352.32
636.15	349.03
642.31	352.89
648.58	352.47
646.61	354.46
647.03	356.36
647.79	357.72
656.73	356.27
658.89	351.48
654.60	347.79
654.67	350.11
657.35	351.07
657.61	350.10
662.27	351.29
661.08	357.50
666.42	354.91
664.74	353.37
670.36	356.98
674.01	354.40
671.32	354.53
673.44	351.40
675.91	358.76
675.89	359.62
675.59	356.05
676.73	352.69
680.11	356.02
679.15	363.45
669.65	362.30
665.37	369.00
665.74	369.51
668.57	372.44
662.47	371.13
664.82	381.53
658.31	377.51
657.82	374.32
659.70	375.65
657.60	380.65
659.91	385.17
661.93	382.08
660.30	380.49
666.04	380.37
658.14	386.79
656.45	386.49
656.82	387.27
660.44	386.77
655.46	387.59
656.00	381.43
655.52	383.73
656.06	384.26
648.28	388.01
647.26	387.39
651.02	383.90
652.75	388.32
658.80	394.43
655.91	399.42
651.34	400.47
654.70	404.95
655.33	404.82
661.21	403.41
664.36	406.10
664.14	402.08
663.27	406.05
666.11	402.07
669.52	394.91
672.09	398.39
675.87	400.87
679.02	404.86
673.39	405.21
675.64	400.07
678.63	397.72
676.88	400.52
672.83	395.74
667.57	393.77
668.57	394.86
663.32	395.49
658.51	396.90
662.43	394.76
667.16	390.20
665.55	386.03
661.03	384.08
662.01	384.20
663.46	385.43
665.76	385.03
665.70	390.82
663.43	392.27
664.00	398.18
668.44	398.10
671.48	397.79
667.78	397.35
662.61	394.62
664.08	392.25
664.40	391.73
663.89	388.93
663.10	390.49
662.62	396.41
667.27	401.89
666.75	407.63
669.37	402.98
666.60	404.76
661.28	402.88
657.66	406.74
660.81	415.07
661.50	411.14
